WEIGHT(N),HEIGHT(mm),HEAD CIRCUMFERENCE(mm),SHOULDER BREADTH(mm),HAND LENGTH(mm),CHEST CIRCUMFERENCE(mm),WAIST CIRCUMFERENCE(mm),SLEEVE LENGTH(mm),AGE (months)
460,1553,551,388,172,810,673,410.5,153
479,1570,565,387,168,807,710,423.5,153
492,1577,545,403,193,831,699,394,153
418,1588,547,341,167,692,635,456.5,153
416,1619,578,366,184,754,632,442.5,153
444,1627,539,365,176,742,661,455,153
668,1670,558,405,181,851,794,451.5,153
588,1681,548,391,182,803,794,463,153
538,1703,581,376,185,796,696,478.5,153
339,1417,522,345,154,680,594,382,154
367,1438,526,334,160,691,617,392,154
368,1480,547,344,159,711,625,409,154
350,1499,550,349,155,678,584,420,154
419,1540,542,363,165,735,682,423.5,154
470,1556,544,363,168,767,669,428.5,154
440,1560,524,382,176,753,634,413,154
307,1375,537,330,155,669,564,367.5,155
353,1436,571,335,147,679,645,403.5,155
406,1470,540,349,168,739,618,392.5,155
360,1479,520,345,148,724,570,419,155
336,1482,534,310,161,651,572,425,155
368,1497,510,360,159,701,611,409.5,155
439,1513,526,370,172,775,658,399.5,155
461,1529,544,366,173,753,664,408.5,155
405,1556,531,385,175,750,598,410.5,155
618,1566,533,417,172,877,879,402.5,155
588,1589,564,397,174,813,829,422,155
558,1591,538,381,164,766,758,441,155
444,1593,546,361,176,755,627,440,155
664,1622,552,440,172,871,867,419,155
504,1694,563,386,193,776,652,461,155
332,1428,580,350,162,672,552,377,156
423,1480,532,364,165,739,702,393,156
385,1502,545,351,151,703,620,424.5,156
405,1509,527,342,167,724,619,416.5,156
398,1524,543,339,165,735,632,427.5,156
490,1578,572,372,179,767,688,424,156
526,1603,534,378,176,839,740,436.5,156
491,1610,565,395,183,805,664,424.5,156
566,1703,553,396,194,805,720,459.5,156
626,1712,559,432,187,860,732,453,156
381,1456,526,346,157,731,675,398,157
373,1464,540,354,158,693,600,397,157
379,1465,525,375,165,748,629,380,157
382,1474,532,354,161,715,615,399,157
329,1484,521,342,171,788,553,400,157
436,1504,551,359,169,747,631,403.5,157
427,1516,546,360,151,732,659,427,157
524,1525,539,394,159,830,732,406.5,157
389,1535,546,331,164,722,605,438,157
429,1556,527,364,165,736,640,431,157
448,1566,547,372,165,761,655,432,157
520,1606,554,389,176,815,708,432.5,157
490,1636,561,381,184,763,711,443.5,157
596,1712,578,414,196,831,711,453,157
285,1388,504,324,149,689,522,383,158
376,1436,520,338,155,687,597,394,158
